question_idx,chinese,pinyin,syllables,audio,correct_tone,user_answer,is_correct,time_seconds,timestamp
5,明天,míngtiān,2,03_明天_21.wav,21,21,True,39.47,2026-01-29 14:04:31
6,学,xué,1,04_学_2.wav,2,2,True,19.05,2026-01-29 14:04:51
1,明天,míngtiān,2,03_明天_21.wav,21,21,True,78.24,2026-01-29 14:21:32
2,美国,měiguó,2,07_美国_32.wav,32,42,False,17.72,2026-01-29 14:21:52
3,学,xué,1,04_学_2.wav,2,2,True,16.73,2026-01-29 14:22:14
4,车,chē,1,03_车_1.wav,1,1,True,24.9,2026-01-29 14:22:40
5,中国,zhōngguó,2,01_中国_12.wav,12,13,False,37.44,2026-01-29 14:23:20
6,叫,jiào,1,10_叫_4.wav,4,4,True,34.95,2026-01-29 14:23:57
1,老师,lǎoshī,2,06_老师_31.wav,31,31,True,48.57,2026-01-29 16:24:32
2,问题,wèntí,2,09_问题_42.wav,42,42,True,20.66,2026-01-29 16:24:59
3,人,rén,1,05_人_2.wav,2,2,True,10.31,2026-01-29 16:25:11
4,火,huǒ,1,08_火_3.wav,3,3,True,11.95,2026-01-29 16:25:29
5,骂,mà,1,11_骂_4.wav,4,4,True,11.18,2026-01-29 16:25:41
6,电脑,diànnǎo,2,10_电脑_43.wav,43,42,False,11.94,2026-01-29 16:25:55
1,老,lǎo,1,07_老_3.wav,3,3,True,28.57,2026-01-29 17:00:52
2,老师,lǎoshī,2,06_老师_31.wav,31,31,True,10.3,2026-01-29 17:01:04
3,车,chē,1,03_车_1.wav,1,2,False,17.64,2026-01-29 17:01:23
4,叫,jiào,1,10_叫_4.wav,4,4,True,14.44,2026-01-29 17:01:42
5,问题,wèntí,2,09_问题_42.wav,42,31,False,18.21,2026-01-29 17:02:02
6,明天,míngtiān,2,03_明天_21.wav,21,21,True,13.53,2026-01-29 17:02:20
1,明天,míngtiān,2,03_明天_21.wav,21,21,True,38.77,2026-01-30 10:39:46
2,人,rén,1,05_人_2.wav,2,2,True,13.5,2026-01-30 10:40:04
3,去,qù,1,12_去_4.wav,4,3,False,9.16,2026-01-30 10:40:15
4,问题,wèntí,2,09_问题_42.wav,42,21,False,45.8,2026-01-30 10:41:33
5,牛奶,niúnǎi,2,04_牛奶_23.wav,23,24,False,15.48,2026-01-30 10:41:51
6,车,chē,1,03_车_1.wav,1,2,False,21.32,2026-01-30 10:43:02
1,商店,shāngdiàn,2,02_商店_14.wav,14,2,False,64.26,2026-01-30 16:13:20
2,美国,měiguó,2,07_美国_32.wav,32,23,False,35.21,2026-01-30 16:14:00
3,狗,gǒu,1,09_狗_3.wav,3,3,True,19.53,2026-01-30 16:14:24
4,天,tiān,1,01_天_1.wav,1,1,True,19.69,2026-01-30 16:14:47
5,车,chē,1,03_车_1.wav,1,1,True,37.38,2026-01-30 16:15:25
6,电脑,diànnǎo,2,10_电脑_43.wav,43,3,False,17.45,2026-01-30 16:15:44
1,狗,gǒu,1,09_狗_3.wav,3,3,True,125.97,2026-01-31 11:13:18
2,中国,zhōngguó,2,01_中国_12.wav,12,12,True,40.01,2026-01-31 11:14:01
3,问题,wèntí,2,09_问题_42.wav,42,42,True,57.5,2026-01-31 11:15:03
4,学校,xuéxiào,2,05_学校_24.wav,24,24,True,48.31,2026-01-31 11:15:55
5,去,qù,1,12_去_4.wav,4,4,True,51.86,2026-01-31 11:16:51
6,骂,mà,1,11_骂_4.wav,4,4,True,30.14,2026-01-31 11:17:26
1,美国,měiguó,2,07_美国_32.wav,32,2,False,161.03,2026-01-31 17:14:56
2,天,tiān,1,01_天_1.wav,1,1,True,97.38,2026-01-31 17:16:41
3,明天,míngtiān,2,03_明天_21.wav,21,31,False,96.78,2026-01-31 17:18:23
4,骂,mà,1,11_骂_4.wav,4,3,False,122.1,2026-01-31 17:20:36
5,学校,xuéxiào,2,05_学校_24.wav,24,23,False,100.65,2026-01-31 17:22:22
6,车,chē,1,03_车_1.wav,1,1,True,46.53,2026-01-31 17:23:15
1,学,xué,1,04_学_2.wav,2,13,False,53.85,2026-01-31 19:11:31
2,叫,jiào,1,10_叫_4.wav,4,14,False,50.52,2026-01-31 19:12:25
3,美国,měiguó,2,07_美国_32.wav,32,3,False,57.43,2026-01-31 19:13:26
4,面包,miànbāo,2,08_面包_41.wav,41,41,True,19.98,2026-01-31 19:13:52
5,老师,lǎoshī,2,06_老师_31.wav,31,31,True,21.04,2026-01-31 19:14:20
6,老,lǎo,1,07_老_3.wav,3,2,False,30.45,2026-01-31 19:14:55
1,中国,zhōngguó,2,01_中国_12.wav,12,12,True,130.04,2026-02-01 10:26:01
2,美国,měiguó,2,07_美国_32.wav,32,43,False,33.38,2026-02-01 10:26:47
3,车,chē,1,03_车_1.wav,1,2,False,22.47,2026-02-01 10:27:14
4,面包,miànbāo,2,08_面包_41.wav,41,41,True,21.48,2026-02-01 10:27:44
5,人,rén,1,05_人_2.wav,2,3,False,24.09,2026-02-01 10:28:12
6,学,xué,1,04_学_2.wav,2,2,True,22.81,2026-02-01 10:28:39
1,电脑,diànnǎo,2,10_电脑_43.wav,43,12,False,226.7,2026-02-01 15:32:31
2,车,chē,1,03_车_1.wav,1,14,False,49.13,2026-02-01 15:33:27
3,问题,wèntí,2,09_问题_42.wav,42,34,False,95.97,2026-02-01 15:35:11
4,心,xīn,1,02_心_1.wav,1,1,True,27.19,2026-02-01 15:35:44
5,老,lǎo,1,07_老_3.wav,3,3,True,27.1,2026-02-01 15:36:17
6,中国,zhōngguó,2,01_中国_12.wav,12,12,True,28.74,2026-02-01 15:36:49
1,学,xué,1,04_学_2.wav,2,3,False,40.5,2026-02-01 18:32:17
2,骂,mà,1,11_骂_4.wav,4,4,True,25.83,2026-02-01 18:32:45
3,老师,lǎoshī,2,06_老师_31.wav,31,32,False,37.75,2026-02-01 18:33:28
4,明天,míngtiān,2,03_明天_21.wav,21,21,True,27.67,2026-02-01 18:33:59
5,商店,shāngdiàn,2,02_商店_14.wav,14,14,True,24.42,2026-02-01 18:34:27
6,老,lǎo,1,07_老_3.wav,3,4,False,27.11,2026-02-01 18:35:02
1,老师,lǎoshī,2,06_老师_31.wav,31,41,False,45.98,2026-02-02 10:56:07
2,骂,mà,1,11_骂_4.wav,4,4,True,23.83,2026-02-02 10:56:38
3,美国,měiguó,2,07_美国_32.wav,32,12,False,38.47,2026-02-02 10:57:19
4,老,lǎo,1,07_老_3.wav,3,1,False,27.34,2026-02-02 10:57:54
